Material,Material Description,Plnt,SLoc,S,Unrestr.,Total Value,Special stock number
2833592,"S7-300,SM323,16DI/16DOX24VDC-SIEMENS",HRWB,AUT,,12,"65,967.16",
2834041,"S7-300,SM331,8AI,OPTISO-SIEMENS",HRWB,AUT,,11,"1,13,455.65",
2834562,"S7-300,SM331,8AI,4-20mA/0-10VDC-SIEMENS",HRWB,AUT,,60,"1,44,039.72",
2834711,"S7-300,SM331,8AI,+/-5/10V+/-20mA-SIEMENS",HRWB,AUT,,60,"52,320.00",
2834766,"S7-300,SM332,4AO,4-20MA/0-10VDC-SIEMENS",HRWB,AUT,,202,"71,548.25",
2834795,"S7-300,SM332,4AO,4-20MA/0-10VDC-SIEMENS",HRWB,AUT,Q,9,"49,260.50",C/4167/12
2839130,"S7-300,SM334,4AI/2AO-SIEMENS",HRWB,AUT,,6,"1,09,675.00",
2856113,"S7-300,CP340,WITH RS232C,INT-SIEMENS",HRWB,AUT,,20,"40,296.32",
2858030,"S7-300 FM355C,CNTRL MOD 4AI,8DI-SIEMENS",HRWB,AUT,,20,"42,933.12",
2859181,"S7-300,IM361,INT MOD-SIEMENS",HRWB,AUT,,8,"9,291.52",
2861412,"S7-300,IM365,INT MOD,2MOD+CONCAB-SIEMENS",HRWB,AUT,,1,"17,193.60",
2863928,"S7-300,DIN RAIL,160MM-SIEMENS",HRWB,AUT,,3,"1,746.69",
2863931,"S7-300,DIN RAIL,480MM-SIEMENS",HRWB,AUT,,3,"4,115.77",
2864273,"S7-300,FRONT CONN,20PIN,SCREW-SIEMENS",HRWB,AUT,,2,"21,958.40",
2864561,"S7-300,FRONT CONN,40PIN,SCREW-SIEMENS",HRWB,AUT,,8,"30,710.42",
2865340,"S7-300,FRONT CONN,40PIN,SCREW-SIEMENS",HRWB,AUT,Q,8,"1,806.50",C/4167/11
2866404,"S7-400,SM422,32DOX24VDC/0.5A-SIEMENS",HRWB,AUT,Q,1,"24,550.00",C/4167/11
2866462,"S7-400,FRONT CONN,48PIN,SCREWTYP-SIEMENS",HRWB,AUT,,1,"2,924.00",
2891001,S7-1500 COMPACT CPU1511C-1PN-SIEMENS,HRWB,AUT,,9,"67,623.84",
2891002,"S7-1500, CPU 1513-1 PN 300KB-SIEMENS",HRWB,AUT,,3,"2,43,641.52",
2891028,"S7-1500,DI32,DC24V,32CH-SIEMENS",HRWB,AUT,,2,"14,545.20",
2897253,"MOUNTING RAIL 160MM (6.3"")",HRWB,AUT,,3,949.32,
2900082,"S7-1500,AQ4XU/I ST; 16BITS-SIEMENS",HRWB,AUT,,17,"6,737.08",
2900283,SOFTWARE-OSD STEP 7 PROF V16-SIEMENS,HRWB,AUT,Q,10,"74,749.50",C/4167/11
2900299,"S7-400,FLASH EPROM,256KB-SIEMENS",HRWB,AUT,,7,"14,355.00",
2900332,"S7-300,MMC,128kB,NO BATTERY REQ-SIEMENS",HRWB,AUT,,55,"17,473.66",
2900574,S7 MICRO MEMORY CARD FOR S7-300-SIEMENS,HRWB,AUT,,17,"27,381.90",
2900664,"S7-300,MMC 2MB,NO BATTERY REQD-SIEMENS ",HRWB,AUT,,12,"10,571.44",
2900916,"S7-300-MMC FOR S71X00CPU,4MB-SIEMENS",HRWB,AUT,,"1,461.00","6,380.87",
2900953,"S7-300-MMC FOR S71X00CPU,12MB-SIEMENS",HRWB,AUT,,7,"14,253.84",
2901643,S7-300-MMC S71X00CPU 256MB-SIEMENS,HRWB,AUT,Q,10,"13,978.32",C/4167/11
2902993,"S7-400,BACKUP BATTERY,1.9AH-SIEMENS",HRWB,AUT,,1,"7,425.00",
2903297,"S7-400,BACKUP BATTERY,1.9AH-SIEMENS",HRWB,AUT,Q,1,618.75,C/4167/11
2903308,PLC ACC-RS485 BUS REPEATER-SIEMENS,HRWB,AUT,Q,23,"15,739.50",C/4167/11
2904376,BUS CONNECTOR WITH PG INTERFACE-SIEMENS,HRWB,AUT,,2,"2,014.44",
2904631,BUS CONNECTOR WITH PG INTERFACE-SIEMENS,HRWB,AUT,Q,15,"6,043.31",C/4167/11
2904776,"PLC ACC-PROFIBUSCON,90,WI PGINT-SIEMENS",HRWB,AUT,,10,"5,859.96",
2909741,"PLC ACC-PROFIBUSCON,90,WI PGINT-SIEMENS",HRWB,AUT,Q,8,"1,171.99",C/4167/11
2938235,CNC-SINUMERIK 840D SL-SIEMENS,HRWB,AUT,,2,"4,44,376.80",
2938581,"CABLE-SIGNAL,PREFAB,D-CLIQ,1M-SIEMENS",HRWB,AUT,,1,"15,734.64",
2950103,"SIGNAL CABLE,PREFAB,D-CLIQ,7M-SIEMENS",HRWB,AUT,,1,"6,464.00",
2961105,"SIGNAL CABLE 7.8MM,3M-SIEMENS",HRWB,AUT,,44,"4,470.00",
